Sequence,label
VYSRHP,0
LATVYD,0
STNTFE,0
LLAVVA,1
NKFGGP,0
NSSFNG,0
WVFWIG,1
GGYVLG,1
CTVFIG,1
LANFLV,1
NYNTYR,0
LATVFV,1
STVIIA,1
LETVYV,0
STVIII,1
SHVIIE,0
QANKHI,1
PNVITL,0
SATLDQ,0
GNYKNF,0
LATVYQ,0
IINFEQ,0
GNNRYQ,0
FQKQQK,0
QNQSGP,0
STFTIE,0
GQQSYS,0
LIVAGE,1
KLLIYE,1
GKQGYQ,0
NNNLQG,0
LATNYV,0
QQIVYK,1
KVQIIN,1
YVSGFH,0
QLFINF,1
VQIVYH,1
STVIIT,1
YNAQAQ,0
LATGYV,0
NIGNNS,0
IKLANA,0
NQQNQY,1
YASNNN,0
FNPQGG,0
SYVIIE,1
VQIAYK,0
VNWCER,0
LAMVYV,1
GFFNLQ,0
LNIYQY,1
TCMLGT,1
YLEIII,0
VQYVYK,0
NLFYQL,1
REPTKV,0
LAWVYV,1
YGQQSY,0
GIKLAN,0
KEPTRE,0
GFGNNA,0
GFNKFG,0
STSIIE,1
VQHVYK,0
LFMFND,0
PAGGYY,0
STVIIE,1
EALYLV,0
VQFVYK,1
LATVYL,0
GATVYV,1
QGGYQQ,0
VQIVAK,1
YYTEFT,0
WNFSTQ,0
NNNKNN,0
LATVYF,1
VQIRYK,1
GDVIEW,1
LATVYC,1
NYFAIR,0
QQYNPQ,0
LAHVYV,1
IQIMIW,1
CTVWWG,1
SSYSSY,0
YTVIIE,1
VTKVAK,0
AIVAGS,1
STMIIE,0
VTLSQP,0
WPNVIT,1
NENGNA,0
SDKKEE,0
AQIVYK,0
FSKDWS,0
IVYSCE,1
NTVIIE,1
KAILFL,0
AIVAGD,1
WTVIIE,1
PTEKDE,0
YQQQFN,0
QSYSGY,0
GMLASQ,0
ETYVVT,0
HIFLLC,1
EEKPVQ,0
ERGFFY,0
STVIRE,0
SSNNFG,1
QYGGNN,1
NFGAIL,1
GVIGIA,1
VQIIYK,1
VDTKPA,0
VYSCEW,0
VNNNNN,0
STVIME,0
PSDIEV,0
STVVIE,0
KLANAT,0
TIITVT,1
PQIVYK,0
STVIIG,1
YVEYIG,1
YTFTIS,0
STLTFE,0
MMAAAQ,0
NNNISV,0
GEATVS,0
KWDRDM,0
QAQPAG,0
SVISLS,0
KPAESD,0
QHGGGN,0
MVGGVV,1
IEKVEH,0
SIVIIE,1
RGFGNS,0
LEFWLQ,1
AMMAAA,0
RATVYV,1
YSGYQQ,0
FGNQSG,0
LLTVYV,1
NQGNNQ,0
QTEEKK,0
PATVYV,0
TFSINP,0
SEMTVK,0
HLVEAL,0
RVNHVT,0
NDFQKQ,0
AVTTGV,0
DHCIIG,1
GYQAYN,0
GGFGNQ,0
NINNST,0
ETVIIE,1
AEKLFD,0
LDTVYV,0
TQRGFG,0
WVENYP,0
CATVYV,1
QGMSLN,0
SNQGNN,0
TYVEYI,1
FGGGNG,0
VQNVYK,1
IQRTPK,0
STVSIE,0
STVIHE,0
RLVFID,0
NSNTNT,0
STVISE,0
VYIMIG,1
TLKLVS,0
VVFFIC,1
KYNNTG,0
NDNNSN,0
LATVYS,0
QYNPQG,0
FMFNDL,0
DIEVDL,0
LATWYV,0
GFPGSF,0
KVEDLK,0
LATVRV,1
FHPSDI,0
VFFNNT,1
STVNIE,1
SMVLFS,1
PTRCCP,0
ITLFWG,1
DTVIIE,1
LATVYN,1
STVFIE,1
PKKTLK,0
STVIIS,1
NYQGYS,0
SYLCDL,0
IIHFGS,1
TASNSS,1
GMMGML,1
LATVIV,1
GWGSAS,0
KQIGII,1
VFIVYK,1
SVNVTQ,0
QLFINN,0
LINNSV,0
GGVLVN,1
VQIQYK,1
VTTVVS,0
GNQQQG,0
VNWYER,0
IKGAIK,1
STVIIQ,1
SSWGMM,0
GGGNNS,1
LIVAGK,1
FGNNAT,0
ATVQCF,1
TREPTK,0
GIIKTN,0
EEKKEE,0
MLVLFV,1
AQAQPA,0
AIIGLM,1
STVTIE,1
RLSNNI,0
AAAQAA,0
SNMGGG,0
GSNNTF,0
STWLIE,1
GNQSGF,0
LMSLFG,0
YQQQYN,0
VLVEAQ,1
NQYNSS,0
QSSWGM,0
KSNFLN,0
EEPVKK,0
TVVSTT,0
DECFFF,0
NGNLTS,0
DDSLFF,0
AAPKPK,0
SMVIIE,1
EEKSAE,0
DQWNGK,0
QGNNQQ,0
NNRYQG,0
GQIVYK,0
HFVWIA,1
LQSSWG,0
VQIVYY,1
MIHFGN,1
KQQKQA,0
STVIIY,1
MEWLRI,0
LMNTTN,0
YQAGFQ,0
QGYSGY,0
GGVVIA,1
HLFNLT,1
NGERIE,0
GFFQQQ,1
STWTFE,0
RVFNIM,1
LAVAGD,1
NQGYNT,0
ATVIIE,1
QNYQQY,0
VYIVYK,1
MCSIFQ,1
ISFLIF,1
FTVIIE,1
LATEYV,0
ADVGQG,0
FSINPA,1
HNNNSQ,0
GVVVVT,0
ITVTND,0
VEEPVK,0
IQIVYK,1
KTVIYE,0
QTFLVN,1
VANFIT,1
KECLIN,0
LALQTD,0
GYQQGG,0
GNNSYS,0
SSTSAA,1
LAQVYV,1
STVIIH,0
SGAAIG,0
NATKKV,0
FGNSAT,0
GYFLNF,1
GNNATA,0
PAMMAA,0
PQGGRG,0
VQINYK,1
SQGMSL,0
TATVYV,1
IYQYGG,1
SELNIY,1
MNFGAF,0
DILTYT,0
NNNWSL,1
FNKFGG,0
DNNTIF,0
ILENIS,0
LATVLV,1
DFQKQQ,0
IQVYSR,0
INLYTD,0
VQPVYK,0
STNIFE,0
KNEEGA,1
RTPKIQ,0
QYNNSN,0
AEVVFT,1
LFMSND,0
VQIVYK,1
ESNTNN,0
KLVSSS,0
SGFHPS,0
STWIFE,1
NQFNLM,1
STVIIR,0
VATVYV,1
GFQPQS,0
QGYQAY,0
VKWDRD,0
NYNNSS,0
AAIGWG,0
NGNQQQ,0
MTFIQN,1
LGTVYV,1
GTFFIT,1
GVTIIT,0
LATVKV,1
NFNNGN,0
STVIIM,1
QNGNQQ,0
LATVTV,1
EECLFL,0
FTPTEK,0
MNFGTF,0
LFNNST,0
GNVCIN,1
VQIPYK,0
LATVEV,1
LIVAGT,1
VPGIAQ,0
SVVIIE,1
TKVEEP,0
VQIVYL,1
VEDLKI,0
LQTDAR,0
GAAVDQ,0
PTVIIE,0
STVIIL,1
QAQNQW,0
QILLWS,1
FVFYIF,1
NNNISN,0
ILGSNN,0
VSSSGI,0
QQSYNP,0
LATVYH,0
GTFNII,1
SGIKLA,0
VQIVHK,1
GQSSYS,0
LAIVYV,1
VQIVYQ,1
INNMTN,0
RVNNNA,0
VQCVYK,1
GAILSS,1
LARVYV,0
VAWLKM,0
GFGNSA,0
VEALYL,1
GYCFIL,1
GSASNA,0
YQGYSG,0
LATRYV,0
YNTRAT,1
STVIIW,1
LAGVYV,1
QQYSQN,0
QQQSYN,0
EEKSEL,0
LKVKVL,1
VSFLSA,1
LATIYV,1
GAIIGL,1
VQIWYK,1
VKKEEK,0
YQQYNP,0
KVEEPV,0
TGVTII,0
VNIVYK,1
QQNYSK,0
NHVTLS,1
NINFFT,1
GNVAVA,1
DSNQGN,0
ASRQNQ,0
FSNATN,0
NFGTFS,0
IGIIKT,0
SGDHCI,0
ILVAGD,1
GQQQSY,0
STDIIE,0
INPAMM,0
GGMNFG,0
ATLDQW,0
QWNGKN,0
NDNNNN,0
VQIFYK,1
DIDLHL,1
LIAGFN,0
IHKAQN,0
NGAAVD,0
VISLSG,0
VSNLSN,0
SSGIKL,0
FGNSRG,0
LATAYV,0
TEEKKE,0
LCTVYV,1
NVAVHV,0
STVINE,0
GAFSIN,0
QAGFQP,0
HNNNNN,0
EKDEYA,0
VIVATT,1
AYNAQA,0
QYGGGN,0
GTLVFM,1
